,preprocessed_name,NAME,CITY_x,STATE
1303,minnesotastatecommunitytechnicalcollegedetroitlakescampus,MINNESOTA STATE COMMUNITY AND TECHNICAL COLLEGE - DETROIT LAKES CAMPUS,,MN
1310,minnesotastatecommunitytechnicalcollegemoorheadcampus,MINNESOTA STATE COMMUNITY AND TECHNICAL COLLEGE - MOORHEAD CAMPUS,,MN
1311,minnesotastatecommunitytechnicalcollegewadena,MINNESOTA STATE COMMUNITY AND TECHNICAL COLLEGE - WADENA,,MN
1274,minnesotastateuniversitymankato,MINNESOTA STATE UNIVERSITY-MANKATO,Mankato,MN
1279,minnesotastateuniversitymoorhead,MINNESOTA STATE UNIVERSITY MOORHEAD,Moorhead,MN
1244,minnesotawestcommunitytechnicalcollege,MINNESOTA WEST COMMUNITY AND TECHNICAL COLLEGE,Granite Falls,MN
1312,minnesotawestcommunitytechnicalcollegejacksoncampus,MINNESOTA WEST COMMUNITY AND TECHNICAL COLLEGE - JACKSON CAMPUS,,MN
1305,minnesotawestcommunitytechnicalcollegepipestonecampus,MINNESOTA WEST COMMUNITY AND TECHNICAL COLLEGE - PIPESTONE CAMPUS,,MN
1281,normandalecommunitycollege,NORMANDALE COMMUNITY COLLEGE,Bloomington,MN
1282,northcentraluniversity,NORTH CENTRAL UNIVERSITY,Minneapolis,MN
1280,northhennepincommunitycollege,NORTH HENNEPIN COMMUNITY COLLEGE,Brooklyn Park,MN
1283,northlandcommunitytechnicalcollege,NORTHLAND COMMUNITY AND TECHNICAL COLLEGE,Thief River Falls,MN
1257,northwesttechnicalcollege,NORTHWEST TECHNICAL COLLEGE,Bemidji,MN
1287,pinetechnicalcommunitycollege,PINE TECHNICAL &amp; COMMUNITY COLLEGE,Pine City,MN
1249,redlakenationcollege,RED LAKE NATION COLLEGE,Red Lake,MN
1296,ridgewatercollege,RIDGEWATER COLLEGE,Willmar,MN
1314,ridgewatercollegehutchinsoncampus,RIDGEWATER COLLEGE - HUTCHINSON CAMPUS,,MN
1256,riverlandcommunitycollege,RIVERLAND COMMUNITY COLLEGE,Austin,MN
1308,riverlandcommunitycollegealbertlea,RIVERLAND COMMUNITY COLLEGE - ALBERT LEA,,MN
1309,riverlandcommunitycollegeowatonnacampus,RIVERLAND COMMUNITY COLLEGE - OWATONNA CAMPUS,,MN
1288,rochestercommunitytechnicalcollege,ROCHESTER COMMUNITY AND TECHNICAL COLLEGE,Rochester,MN
1295,saintpaulcollege,SAINT PAUL COLLEGE,,MN
1245,southcentralcollege,SOUTH CENTRAL COLLEGE,North Mankato,MN
1304,southcentralcollegefaribaultcampus,SOUTH CENTRAL COLLEGE - FARIBAULT CAMPUS,,MN
1284,southwestminnesotastateuniversity,SOUTHWEST MINNESOTA STATE UNIVERSITY,Marshall,MN
1290,stcloudtechnicalcommunitycollege,ST CLOUD TECHNICAL AND COMMUNITY COLLEGE,Saint Cloud,MN
1291,stolafcollege,ST OLAF COLLEGE,Northfield,MN
1285,vermilioncommunitycollege,VERMILION COMMUNITY COLLEGE,Ely,MN
1250,waldenuniversity,WALDEN UNIVERSITY,Minneapolis,MN
1298,winonastateuniversity,WINONA STATE UNIVERSITY,Winona,MN
1204,avilauniversity,AVILA UNIVERSITY,Kansas City,MO
1213,barnesjewishcollegegoldfarbschoolnursing,BARNES-JEWISH COLLEGE GOLDFARB SCHOOL OF NURSING,Saint Louis,MO
1205,coxcollege,COX COLLEGE,Springfield,MO
1209,evangeluniversity,EVANGEL UNIVERSITY,Springfield,MO
1211,hanniballagrangeuniversity,HANNIBAL-LAGRANGE UNIVERSITY,Hannibal,MO
1212,harrisstowestateuniversity,HARRIS-STOWE STATE UNIVERSITY,Saint Louis,MO
1190,maryvilleuniversitysaintlouis,MARYVILLE UNIVERSITY OF SAINT LOUIS,Saint Louis,MO
1219,missouribaptistuniversity,MISSOURI BAPTIST UNIVERSITY,Saint Louis,MO
1195,ozarkstechnicalcommunitycollege,OZARKS TECHNICAL COMMUNITY COLLEGE,Springfield,MO
1240,saintlouiscommunitycollegeforestparkcampus,SAINT LOUIS COMMUNITY COLLEGE - FOREST PARK CAMPUS,,MO
1241,saintlouiscommunitycollegemerameccampus,SAINT LOUIS COMMUNITY COLLEGE - MERAMEC CAMPUS,,MO
1194,saintlouisuniversity,SAINT LOUIS UNIVERSITY,Saint Louis,MO
